objid,ra,dec,z,zErr,psfMag_g,psfMag_r,psfMagErr_g,psfMagErr_r
1237662224089612512,242.30552,23.465312,0.032845,2.247765E-5,20.74086,20.372728,0.026699,0.02711
1237662224089612421,242.23139,23.524779,0.11918,2.524969E-5,19.491953,18.694372,0.017798,0.016853
1237662662681493583,242.6275,23.956627,0.03142,2.943889E-5,20.57991,19.772104,0.022961,0.019929
1237662224626548981,242.67134,23.735368,0.057774,1.147975E-5,20.243717,19.762598,0.022172,0.018518
1237662224626418069,242.46165,23.929878,0.08734,2.700186E-5,19.850994,18.930109,0.021797,0.015437
1237662662681493948,242.71419,23.971705,0.316893,8.349469E-5,21.658949,20.057951,0.048759,0.023368
1237662662144623018,242.50949,23.715861,0.088688,1.060055E-5,20.890696,20.434986,0.02983,0.026503
1237662224626483368,242.53447,23.936918,0.166131,3.874989E-5,20.38443,19.227055,0.020603,0.015589
1237662224626483396,242.47877,23.81219,0.11787,6.878732E-6,20.192835,19.58847,0.019315,0.017077
1237662662144688383,242.59562,23.65277,0.086578,6.5824E-6,20.084221,19.633753,0.020046,0.017549
1237662662144688322,242.50936,23.650602,0.118898,2.598172E-5,19.505518,18.521797,0.017291,0.013785
1237662662144622794,242.43444,23.643666,0.118764,1.51137E-5,20.537102,19.806559,0.025923,0.020206
1237662224626483461,242.51745,23.784074,0.119009,3.001551E-5,19.765781,18.769588,0.016837,0.014314
1237662224626483347,242.43114,23.810548,0.118719,2.417921E-5,19.364775,18.326551,0.015341,0.013655
1237662224626548922,242.69795,23.834256,0.05713,2.028715E-5,19.455826,18.652885,0.018746,0.014725
1237662224626549022,242.67056,23.684578,0.085542,2.078051E-5,19.568279,18.63941,0.019094,0.014719
1237662224626483363,242.48899,23.876446,0.068413,1.636188E-5,20.127941,19.372499,0.018813,0.016108
1237662224626548896,242.61615,23.772277,0.033264,1.14778E-5,19.494892,19.124216,0.018915,0.015821
1237662662681624611,242.87824,23.811617,0.031923,1.246639E-5,18.782524,18.167261,0.255271,0.167449
1237665566068441213,210.32226,22.803809,0.183478,1.666161E-5,20.52268,19.705044,0.021894,0.020802
1237667911140311117,210.26905,22.4699,0.097577,2.400904E-5,19.63719,18.74831,0.020696,0.019297
1237667911140245734,210.24549,22.470381,0.03614,7.597724E-6,19.25934,19.05114,0.021737,0.023369
1237665565531635816,210.39575,22.229053,0.036213,9.675927E-6,18.089703,17.355064,0.017544,0.012289
1237665566068375584,210.20442,22.763647,0.010238,5.778919E-6,19.80538,19.700949,0.017416,0.022148
1237665566068441277,210.39125,22.755715,0.182025,2.774515E-5,20.090557,18.948864,0.017796,0.017634
1237667911140311165,210.37291,22.573072,0.065481,1.014985E-5,19.12874,18.551775,0.019361,0.018977
1237665565531570371,210.3365,22.376464,0.338414,6.28139E-5,21.509159,19.780346,0.046707,0.019668
1237665566068441286,210.39827,22.674385,0.205965,2.214703E-5,19.946844,18.844357,0.016963,0.017374
1237667911140311108,210.28767,22.58613,0.11094,2.212763E-5,19.736572,18.898388,0.021056,0.019543
1237667911140311135,210.33061,22.622505,0.141867,2.3794E-5,19.70504,18.707384,0.020976,0.019233
1237665566068375703,210.2558,22.702764,0.142197,2.071873E-5,19.427404,18.401844,0.01554,0.018219
1237665566068441239,210.31938,22.646046,0.114092,7.69184E-6,19.583176,19.279346,0.014516,0.018574
1237665565531373798,209.81299,22.302861,0.110718,1.861996E-5,19.268631,18.367146,0.0193,0.014503
1237665565531439180,209.89355,22.320901,0.060792,6.85589E-6,19.500898,19.234974,0.023698,0.014865
1237665565531373809,209.8643,22.375182,0.112917,2.201639E-5,19.427794,18.466507,0.019966,0.014683
1237665565531504816,210.18022,22.408728,0.18289,2.380809E-5,20.10677,19.074236,0.024245,0.015466
1237665565531504713,210.12638,22.303213,0.135084,1.586689E-5,18.731083,17.698912,0.365357,0.364809
1237667911140114599,209.90113,22.659028,0.158863,1.852329E-5,19.9191,19.056881,0.017944,0.025315
1237667911140245614,210.13362,22.608703,0.10893,2.415841E-5,19.788887,18.879858,0.023249,0.023062
1237667911140245666,210.18113,22.564453,0.065227,1.280028E-5,19.540743,18.974174,0.022356,0.02323
1237665565531439203,209.94207,22.491647,0.083091,1.971868E-5,19.371824,18.553539,0.022918,0.011839
1237665565531439242,210.00906,22.432495,0.2282,2.906671E-5,19.99684,18.691216,0.025288,0.012323
1237667911140245642,210.15805,22.605136,0.098038,8.470406E-6,20.085999,19.173824,0.024622,0.023647
1237667911140180104,210.01913,22.694007,0.160182,2.689566E-5,19.855865,18.798534,0.019018,0.017475
1237667911140180135,210.05974,22.498292,0.135862,1.985413E-5,19.36652,18.349447,0.01712,0.016753
1237667911140180039,210.02994,22.48037,0.077951,1.421816E-5,19.04291,18.282976,0.016861,0.017042
1237667911140114614,209.93712,22.687015,0.16077,2.659162E-5,19.842503,18.659065,0.017786,0.024682
1237665565531504774,210.09667,22.462065,0.134912,2.333377E-5,19.344715,18.341892,0.020971,0.013792
1237667910603440259,210.19535,22.062648,0.113905,1.056446E-5,19.729242,19.018911,0.023973,0.019305
1237667910603243622,209.73958,22.2604,0.110874,1.492594E-5,18.631769,17.601635,0.017135,0.014645
1237665565531308230,209.65491,22.508331,0.07836,7.253034E-6,19.5303,19.077124,0.021154,0.018335
1237667910603243598,209.72666,22.300301,0.110772,1.665894E-5,18.920681,17.933489,0.01758,0.014909
1237667911139983490,209.53486,22.566683,0.076504,1.739445E-5,20.104286,19.065094,0.019686,0.02415
1237665565531308251,209.67094,22.386503,0.204779,1.337251E-5,20.184324,19.271948,0.024885,0.019252
1237665565531308247,209.65325,22.340444,0.111298,1.782378E-5,19.234808,18.253368,0.020359,0.016807
1237667911140048978,209.72015,22.552342,0.06407,1.171594E-5,18.95121,18.012499,0.023474,0.018385
1237665565531242734,209.56477,22.544585,0.077464,1.398983E-5,18.888115,18.075628,0.016309,0.01473
1237665566068179166,209.75413,22.814962,9.551551E-3,5.215363E-6,19.689241,19.714355,0.028943,0.02898
1237665566068113591,209.6034,22.777346,0.077485,1.766313E-5,19.272434,18.490189,0.01662,0.015
1237665565531373658,209.75372,22.482898,0.070204,6.076345E-6,19.614908,19.295134,0.020952,0.017714
1237665565531308104,209.63776,22.384028,0.082373,1.360552E-5,18.489939,17.620911,0.029029,0.024876
