posx/ posy/ cuentas_g/ magnitud_g/ cielo_g/ cuentas_r/ magnitud_r/ cielo_r/ G-R/ 
278	216	0.13	27.214	0.013	0.122	27.288	0.021	-0.074
372	233	0.238	26.561	0.013	1.11	24.886	0.021	1.675
360	236	0.223	26.628	0.013	1.106	24.89	0.021	1.738
361	218	1.95	24.275	0.013	3.413	23.667	0.021	0.608
391	243	8.44	22.684	0.013	21.354	21.676	0.021	1.008
393	252	0.511	25.73	0.013	3.144	23.756	0.021	1.974
344	239	0.119	27.314	0.013	0.177	26.879	0.021	0.435
411	239	-0.0	nan	0.013	0.025	29.01	0.021	nan
395	213	6.198	23.019	0.013	6.323	22.998	0.021	0.021
373	247	-0.008	nan	0.013	0.172	26.912	0.021	nan
302	190	0.091	27.6	0.013	0.228	26.604	0.021	0.996
437	211	0.136	27.162	0.013	0.897	25.117	0.021	2.045
471	208	0.075	27.808	0.013	0.396	26.006	0.021	1.802
481	192	0.446	25.877	0.013	2.276	24.107	0.021	1.77
488	182	0.162	26.979	0.013	1.563	24.515	0.021	2.464
479	183	0.086	27.663	0.013	0.538	25.673	0.021	1.99
424	242	0.046	28.332	0.013	0.076	27.803	0.021	0.529
451	228	0.043	28.42	0.013	0.223	26.63	0.021	1.79
361	204	0.013	29.711	0.013	0.079	27.751	0.021	1.96
370	199	1.241	24.766	0.013	5.831	23.086	0.021	1.68
433	203	0.118	27.316	0.013	0.324	26.223	0.021	1.093
432	157	0.108	27.42	0.013	0.507	25.738	0.021	1.682
423	196	1.087	24.91	0.013	5.222	23.205	0.021	1.705
419	152	0.194	26.779	0.013	0.792	25.253	0.021	1.526
386	156	1.817	24.352	0.013	6.933	22.898	0.021	1.454
405	170	1.784	24.372	0.013	8.245	22.71	0.021	1.662
354	150	0.099	27.511	0.013	0.186	26.826	0.021	0.685
332	158	0.087	27.647	0.013	0.239	26.553	0.021	1.094
452	147	0.198	26.76	0.013	1.095	24.902	0.021	1.858
321	180	0.04	28.483	0.013	0.116	27.335	0.021	1.148
315	181	0.044	28.383	0.013	0.165	26.959	0.021	1.424
335	173	0.126	27.247	0.013	0.517	25.717	0.021	1.53
299	180	0.119	27.314	0.013	0.447	25.875	0.021	1.439
300	164	0.724	25.35	0.013	2.831	23.87	0.021	1.48
288	187	1.911	24.297	0.013	5.151	23.22	0.021	1.077
290	180	0.72	25.357	0.013	1.38	24.65	0.021	0.707
289	161	0.306	26.286	0.013	0.639	25.487	0.021	0.799
281	150	0.333	26.193	0.013	0.41	25.969	0.021	0.224
272	200	4.901	23.274	0.013	7.683	22.786	0.021	0.488
270	185	2.089	24.2	0.013	9.011	22.613	0.021	1.587
210	236	0.521	25.707	0.013	0.884	25.134	0.021	0.573
321	146	0.072	27.862	0.013	0.149	27.069	0.021	0.793
175	229	6.682	22.938	0.013	30.136	21.302	0.021	1.636
234	215	0.325	26.219	0.013	1.145	24.853	0.021	1.366
227	212	4.284	23.42	0.013	6.597	22.952	0.021	0.468
232	204	2.436	24.033	0.013	8.995	22.615	0.021	1.418
252	190	3.061	23.785	0.013	4.964	23.26	0.021	0.525
216	200	3.413	23.667	0.013	14.636	22.086	0.021	1.581
217	158	1.475	24.578	0.013	5.472	23.155	0.021	1.423
209	165	0.158	27.005	0.013	0.303	26.296	0.021	0.709
258	160	3.843	23.538	0.013	16.261	21.972	0.021	1.566
196	169	0.095	27.553	0.013	0.234	26.578	0.021	0.975
183	175	0.06	28.053	0.013	0.261	26.46	0.021	1.593
59	339	0.271	26.417	0.013	1.05	24.947	0.021	1.47
87	321	1.026	24.972	0.013	1.247	24.76	0.021	0.212
85	339	0.154	27.032	0.013	0.751	25.311	0.021	1.721
60	302	3.163	23.75	0.013	8.839	22.634	0.021	1.116
80	326	0.291	26.341	0.013	1.894	24.307	0.021	2.034
12	339	0.522	25.705	0.013	2.05	24.221	0.021	1.484
55	316	-0.01	nan	0.013	0.057	28.113	0.021	nan
44	307	0.029	28.853	0.013	0.373	26.072	0.021	2.781
38	306	0.013	29.703	0.013	0.035	28.628	0.021	1.075
20	308	1.352	24.672	0.013	3.597	23.61	0.021	1.062
64	308	0.08	27.748	0.013	0.56	25.63	0.021	2.118
73	279	0.17	26.926	0.013	1.185	24.816	0.021	2.11
41	291	0.232	26.585	0.013	1.341	24.682	0.021	1.903
26	291	1.378	24.652	0.013	6.136	23.03	0.021	1.622
76	295	0.405	25.983	0.013	1.36	24.666	0.021	1.317
21	251	0.412	25.963	0.013	0.634	25.495	0.021	0.468
92	243	0.33	26.203	0.013	0.741	25.325	0.021	0.878
82	250	0.013	29.706	0.013	0.201	26.74	0.021	2.966
